time,observed_power,desired_power,drum_1,drum_2,drum_3,drum_4,drum_5,drum_6,drum_7,drum_8,actual_power,c1,c2,c3,c4,c5,c6,Tf,Tm,Tc,Xe,I,diff
0.0,1.0,1.0,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,832.4,830.22,814.35,1.0211272127599268e+19,1.1698434407665506e+19,0.0
1.0,1.0001389385724906,1.0,77.79806516559329,77.80362131302245,77.80204431125894,77.79958237199462,77.80176953640766,77.79962529639015,77.79841406126506,77.80080126529792,1.0001389385724906,1.000001102703833,1.0000027320631366,1.0000096778617626,1.0000241781843595,1.0000764591943194,1.000118391482467,832.4012740203158,830.2201689734247,814.3497536225984,1.0211272116944226e+19,1.1698434436910217e+19,0.013893857249058783
2.0,1.0002047282155246,1.0,77.79613034632057,77.80724257831461,77.80408869376406,77.79916468461742,77.80353877211455,77.79925072828773,77.79682808166835,77.80160268653417,1.0002047282155246,1.0000032759047424,1.0000080560505706,1.0000276325136765,1.000064406257577,1.0001548393139366,1.0001896013824192,832.4025487883354,830.2204041597633,814.3495579773038,1.0211272095787141e+19,1.1698434494982623e+19,0.020472821552464104
3.0,1.0002682571930268,1.0,77.79419543030671,77.81086391485296,77.80613294471986,77.79874708047718,77.8053079893114,77.79887617095373,77.79524210055824,77.80240415654843,1.0002682571930268,1.0000062241921,1.000015197302524,1.0000505727549096,1.0001108371200647,1.0002217775976998,1.0002524273246942,832.4036886289291,830.2206932578615,814.3494104930888,1.0211272066865125e+19,1.1698434574372411e+19,0.026825719302681073
4.0,1.0003341997830864,1.0,77.79226046120748,77.81448526373133,77.80817713886499,77.79832951664575,77.80707714550663,77.79850166082615,77.79365610536188,77.8032056812779,1.0003341997830864,1.0000099512516065,1.000024132605806,1.0000780738601323,1.0001621296118208,1.0002871159769016,1.0003172737445722,832.4047857774784,830.2210280841491,814.3493081244137,1.0211272030049188e+19,1.1698434675435407e+19,0.0334199783086353
5.0,1.0004030091236322,1.0,77.79032544135116,77.81810662262141,77.81022128108889,77.79791198963066,77.80884623324964,77.7981272004079,77.79207009503152,77.80400726404041,1.0004030091236322,1.000014482564653,1.0000348932508403,1.0001099428901419,1.000217734762107,1.0003542118567568,1.0003851616291943,832.4059019271469,830.2214056029632,814.3492478457481,1.0211271984998416e+19,1.1698434799109128e+19,0.04030091236322253
