time,observed_power,desired_power,drum_1,drum_2,drum_3,drum_4,drum_5,drum_6,drum_7,drum_8,actual_power,c1,c2,c3,c4,c5,c6,Tf,Tm,Tc,Xe,I,diff
0.0,1.0,1.0,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,832.4,830.22,814.35,1.0211272127599268e+19,1.1698434407665506e+19,0.0
1.0,1.0001019659518906,1.0,77.80060137262335,77.802164759906,77.79832492379937,77.79585714563727,77.80088908255566,77.79984322511591,77.80151918444317,77.79900893913582,1.0001019659518906,1.0000009218835033,1.0000022832159217,1.0000080747011377,1.0000200980436433,1.0000623652524578,1.0000941437113182,832.401142453408,830.2201661420445,814.3497535697621,1.021127211868924e+19,1.1698434432120752e+19,0.010196595189060353
2.0,1.000105194476341,1.0,77.80120270490879,77.8043296823278,77.79664987099822,77.79171392433345,77.8017783108633,77.7996864167042,77.80303838634863,77.7980179714039,1.000105194476341,1.0000022521145489,1.0000055289530965,1.0000188232585796,1.0000431395644216,1.0000959271354408,1.0001097622609856,832.4019089610313,830.2203779194275,814.34955699243,1.0211272105704393e+19,1.169843446776246e+19,0.010519447634105283
3.0,1.000096858322788,1.0,77.80180388445733,77.80649453466758,77.7949748411309,77.7875707696192,77.80266754091717,77.79952962866518,77.80455752178095,77.79702689133119,1.000096858322788,1.0000035159830216,1.0000085502383087,1.000027954242882,1.0000588971704327,1.0001002383701223,1.0001057895199073,832.4022167712585,830.2206031652431,814.3494054084973,1.0211272093199043e+19,1.169843450209111e+19,0.009685832278805151
4.0,1.0000842306077566,1.0,77.80240503833629,77.80865936116315,77.7932998319855,77.78342762934044,77.80355683243833,77.79937286134809,77.80607662671245,77.7960357856471,1.0000842306077566,1.000004625376008,1.000011134526408,1.0000348798905871,1.0000674777129739,1.000092545061979,1.0000914325268617,832.4022363411293,830.2208198668995,814.3492925160286,1.02112720820348e+19,1.1698434532741704e+19,0.008423060775664126
5.0,1.0000678019288058,1.0,77.80300618202891,77.81082416111603,77.79162484297994,77.77928450908512,77.80444618944311,77.79921611591708,77.80759570405353,77.79504466063808,1.0000678019288058,1.000005537675978,1.0000131854283276,1.000039457937387,1.0000698746813559,1.000079530426392,1.0000785424491534,832.4020856583128,830.2210158903889,814.3492116291392,1.0211272072643176e+19,1.1698434558529552e+19,0.006780192880584401
6.0,1.0000492107410526,1.0,77.80360732123954,77.81298893103376,77.78994987434707,77.77514141723513,77.80533561315387,77.79905939365271,77.80911475438624,77.79405351665336,1.0000492107410526,1.0000062150007771,1.000014619803856,1.000041595406583,1.000066884703016,1.0000627014303947,1.0000577576117589,832.4018280126559,830.2211850863495,814.3491563320569,1.021127206541467e+19,1.1698434578382436e+19,0.004921074105257439
7.0,1.0000275810850792,1.0,77.80420846103225,77.81515366975218,77.78827492515556,77.77099835705012,77.80622510362882,77.79890269548632,77.8106337777106,77.79306235532276,1.0000275810850792,1.0000066310912976,1.000015384719767,1.0000413073596022,1.0000593374719795,1.0000433583268002,1.0000397387523152,832.4015033504735,830.2213244916577,814.3491207862232,1.0211272060632048e+19,1.169843459152375e+19,0.002758108507916468
8.0,1.00000430577234,1.0,77.80480960513232,77.817318373546,77.78659999517258,77.76685533830896,77.80711466034408,77.79874602269847,77.81215277437586,77.79207117571495,1.00000430577234,1.000006756067619,1.0000154190439519,1.0000385713118805,1.0000477444374807,1.0000212835462305,1.0000139568738913,832.4011277368777,830.22143292562,814.3490998303938,1.0211272058616084e+19,1.1698434597072488e+19,0.00043057723400075076
9.0,0.999978361998668,1.0,77.80541075726505,77.81948304125108,77.78492508521303,77.76271236240864,77.80800428481307,77.79858937645331,77.81367174403276,77.79107997864485,0.999978361998668,1.0000065700797118,1.000014687493442,1.0000334525071397,1.0000326972606695,0.9999973055932524,0.9999917136553425,832.4007149508632,830.221509999264,814.3490889822216,1.0211272059594318e+19,1.1698434594403492e+19,-0.0021638001332036083
