time,observed_power,desired_power,drum_1,drum_2,drum_3,drum_4,drum_5,drum_6,drum_7,drum_8,actual_power,c1,c2,c3,c4,c5,c6,Tf,Tm,Tc,Xe,I,diff
893.0,0.9988250478075953,1.0,180.0,129.82433196082712,0.0,180.0,66.79045832455158,0.0,0.0,20.24491648375988,0.9988250478075953,0.9993842267943908,0.9988565523019822,0.9988223778109955,0.9988232855347743,0.9988245694236938,0.998826248020133,832.3597499916145,830.1851241202992,814.329607452473,1.0211188841661497e+19,1.169866403231758e+19,-0.11749521924047102
894.0,0.998823534477124,1.0,180.0,129.86950795650483,0.0,180.0,66.71179722547531,0.0,0.0,20.35285012423992,0.998823534477124,0.999377170433423,0.9988555963383847,0.9988227731491537,0.99882403104321,0.9988263178762159,0.9988395637405504,832.3597156568916,830.1850482323617,814.3295572740989,1.0211188994692352e+19,1.1698663631548539e+19,-0.11764655228759802
895.0,0.9988264385865906,1.0,180.0,129.91464471369983,0.0,180.0,66.63317919075489,0.0,0.0,20.460949555039406,0.9988264385865906,0.9993701965632883,0.9988546535999455,0.9988230653895952,0.998824420951525,0.9988259013861718,0.9988276082562528,832.3596691119892,830.1849747483853,814.3295084608282,1.0211189147771113e+19,1.169866323061369e+19,-0.11735614134094075
896.0,0.9988250060918584,1.0,180.0,129.95949953347446,0.0,180.0,66.55436517596245,0.0,0.0,20.568799644708633,0.9988250060918584,0.9993633357213478,0.998853801908186,0.998823543097979,0.9988252482505658,0.9988277407584258,0.998841056498152,832.3596390332781,830.1849035345349,814.3294610032937,1.0211189300592597e+19,1.169866283035066e+19,-0.1174993908141575
897.0,0.9988279932015339,1.0,180.0,130.00431449636818,0.0,180.0,66.4755940169096,0.0,0.0,20.676813632249832,0.9988279932015339,0.9993565558692731,0.9988529625810119,0.9988239170702887,0.9988257184219553,0.9988274007929031,0.9988291414408802,832.3595966581129,830.1848346819627,814.329414883351,1.0211189453452616e+19,1.1698662429947589e+19,-0.11720067984660743
898.0,0.9988266449550292,1.0,180.0,130.04884817749263,0.0,180.0,66.39662789106369,0.0,0.0,20.784578502178192,0.9988266449550292,0.9993498875738337,0.9988522134934334,0.9988244760482808,0.9988266252037127,0.9988293161365593,0.9988426443321876,832.3595707039525,830.1847680548065,814.3293700921714,1.0211189606045886e+19,1.1698662030242376e+19,-0.11733550449708474
899.0,0.998829719132912,1.0,180.0,130.09334205761553,0.0,180.0,66.31770506799221,0.0,0.0,20.892506524920464,0.998829719132912,0.999343298942524,0.9988514763043228,0.9988249320060212,0.9988271771620736,0.9988290630721,0.9988308447200408,832.3595325102779,830.184703746491,814.3293266120697,1.0211189758666996e+19,1.1698661630426528e+19,-0.1170280867088036
900.0,0.9988284403069365,1.0,180.0,130.13755350112916,0.0,180.0,66.23858648836612,0.0,0.0,21.000182569026947,0.9988284403069365,0.9993368205653521,0.9988508289188653,0.9988255736555475,0.9988281675087136,0.9988310684514691,0.9988444793416764,832.3595107590469,830.1846416262091,814.3292844349467,1.0211189911010597e+19,1.1698661231338121e+19,-0.11715596930634842
901.0,0.9988316116028961,1.0,180.0,130.18172622397543,0.0,180.0,66.15951264202594,0.0,0.0,21.108022794127464,0.9988316116028961,0.9993304203971853,0.9988501925910681,0.9988261114191215,0.9988288006561304,0.9988308921712086,0.9988327089313442,832.3594766515254,830.1845817870557,814.3292435438572,1.0211190063372913e+19,1.1698660832164176e+19,-0.116838839710387
902.0,0.9988303887785615,1.0,180.0,130.22561443150045,0.0,180.0,66.08024141490459,0.0,0.0,21.215606436133385,0.9988303887785615,0.999324129220698,0.9988496456832209,0.9988268356166856,0.9988298741852603,0.9988329854115866,0.9988464814001604,832.3594590290287,830.1845240986648,814.3292039314081,1.0211190215446913e+19,1.1698660433747393e+19,-0.1169611221438549
